Package	Version	Architecture	Status
gir1.2-glib-2.0	1.74.0-3	amd64	install ok installed
gir1.2-gtk-3.0	3.24.38-2~deb12u3	amd64	install ok installed
gir1.2-harfbuzz-0.0	6.0.0+dfsg-3	amd64	install ok installed
gir1.2-pango-1.0	1.50.12+ds-1	amd64	install ok installed
git	1:2.39.5-0+deb12u3	amd64	install ok installed
git-man	1:2.39.5-0+deb12u3	all	install ok installed
gnome-accessibility-themes	3.28-2	all	install ok installed
gnome-themes-extra	3.28-2	amd64	install ok installed
gnome-themes-extra-data	3.28-2	all	install ok installed
gnupg	2.2.40-1.1+deb12u2	all	install ok installed
gnupg-l10n	2.2.40-1.1+deb12u2	all	install ok installed
gnupg-utils	2.2.40-1.1+deb12u2	amd64	install ok installed
golang-github-containers-common	0.50.1+ds1-4	all	install ok installed
golang-github-containers-image	5.23.1-4	all	install ok installed
gpg	2.2.40-1.1+deb12u2	amd64	install ok installed
gpg-agent	2.2.40-1.1+deb12u2	amd64	install ok installed
gpg-wks-client	2.2.40-1.1+deb12u2	amd64	install ok installed
gpg-wks-server	2.2.40-1.1+deb12u2	amd64	install ok installed
gpgconf	2.2.40-1.1+deb12u2	amd64	install ok installed
gpgsm	2.2.40-1.1+deb12u2	amd64	install ok installed
gpgv	2.2.40-1.1+deb12u2	amd64	install ok installed
grep	3.8-5	amd64	install ok installed
groff-base	1.22.4-10	amd64	install ok installed
grub-common	2.06-13+deb12u2	amd64	install ok installed
grub-efi-amd64-bin	2.06-13+deb12u2	amd64	install ok installed
grub-efi-amd64-signed	1+2.06+13+deb12u2	amd64	install ok installed
grub2-common	2.06-13+deb12u2	amd64	install ok installed
gsettings-desktop-schemas	43.0-1	all	install ok installed
gstreamer1.0-plugins-base	1.22.0-3+deb12u6	amd64	install ok installed
gtk-update-icon-cache	3.24.38-2~deb12u3	amd64	install ok installed
gtk2-engines-pixbuf	2.24.33-2+deb12u1	amd64	install ok installed
gvfs	1.50.3-1+deb12u1	amd64	install ok installed
gvfs-common	1.50.3-1+deb12u1	all	install ok installed
gvfs-daemons	1.50.3-1+deb12u1	amd64	install ok installed
gvfs-libs	1.50.3-1+deb12u1	amd64	install ok installed
