Package	Version	Architecture	Status
libsecret-common	0.20.5-3	all	install ok installed
libselinux1	3.4-1+b6	amd64	install ok installed
libsemanage-common	3.4-1	all	install ok installed
libsemanage2	3.4-1+b5	amd64	install ok installed
libsensors-config	1:3.6.0-7.1	all	install ok installed
libsensors5	1:3.6.0-7.1	amd64	install ok installed
libsepol2	3.4-2.1	amd64	install ok installed
libshine3	3.1.1-2	amd64	install ok installed
libsigc++-2.0-0v5	2.12.0-1	amd64	install ok installed
libslang2	2.3.3-3	amd64	install ok installed
libslirp0	4.7.0-1	amd64	install ok installed
libsm6	2:1.2.3-1	amd64	install ok installed
libsmartcols1	2.38.1-5+deb12u3	amd64	install ok installed
libsnappy1v5	1.1.9-3	amd64	install ok installed
libsndfile1	1.2.0-1+deb12u1	amd64	install ok installed
libsnmp-base	5.9.3+dfsg-2+deb12u1	all	install ok installed
libsnmp40	5.9.3+dfsg-2+deb12u1	amd64	install ok installed
libsodium23	1.0.18-1+deb12u1	amd64	install ok installed
libsoxr0	0.1.3-4	amd64	install ok installed
libspeex1	1.2.1-2	amd64	install ok installed
libspeexdsp1	1.2.1-1	amd64	install ok installed
libsqlite3-0	3.40.1-2+deb12u2	amd64	install ok installed
libss2	1.47.0-2+b2	amd64	install ok installed
libssh2-1	1.10.0-3+b1	amd64	install ok installed
libssl3	3.0.20-1~deb12u1	amd64	install ok installed
libstartup-notification0	0.12-6+b1	amd64	install ok installed
libstdc++6	12.2.0-14+deb12u1	amd64	install ok installed
libsubid4	1:4.13+dfsg1-1+deb12u2	amd64	install ok installed
libsvtav1enc1	1.4.1+dfsg-1	amd64	install ok installed
libswresample4	7:5.1.8-0+deb12u1	amd64	install ok installed
libsystemd-shared	252.39-1~deb12u2	amd64	install ok installed
libsystemd0	252.39-1~deb12u2	amd64	install ok installed
libtasn1-6	4.19.0-2+deb12u1	amd64	install ok installed
libtdb1	1.4.8-2	amd64	install ok installed
libteamdctl0	1.31-1	amd64	install ok installed
libtext-charwidth-perl	0.04-11	amd64	install ok installed
libtext-iconv-perl	1.7-8	amd64	install ok installed
libtext-wrapi18n-perl	0.06-10	all	install ok installed
libthai-data	0.1.29-1	all	install ok installed
libthai0	0.1.29-1	amd64	install ok installed
libtheora0	1.1.1+dfsg.1-16.1+deb12u1	amd64	install ok installed
libthunarx-3-0	4.18.4-1	amd64	install ok installed
libtiff6	4.5.0-6+deb12u4	amd64	install ok installed
libtinfo6	6.4-4	amd64	install ok installed
libtirpc-common	1.3.3+ds-1	all	install ok installed
libtirpc3	1.3.3+ds-1	amd64	install ok installed
libtumbler-1-0	4.18.0-1	amd64	install ok installed
libtwolame0	0.4.0-2	amd64	install ok installed
libuchardet0	0.0.7-1	amd64	install ok installed
libudev1	252.39-1~deb12u2	amd64	install ok installed
libudfread0	1.1.2-1	amd64	install ok installed
libudisks2-0	2.9.4-4+deb12u2	amd64	install ok installed
libunistring2	1.0-2	amd64	install ok installed
libunwind8	1.6.2-3	amd64	install ok installed
libupower-glib3	0.99.20-2	amd64	install ok installed
liburi-perl	5.17-1	all	install ok installed
libusb-1.0-0	2:1.0.26-1	amd64	install ok installed
libutempter0	1.2.1-3	amd64	install ok installed
libuuid1	2.38.1-5+deb12u3	amd64	install ok installed
libva-drm2	2.17.0-1	amd64	install ok installed
libva-x11-2	2.17.0-1	amd64	install ok installed
libva2	2.17.0-1	amd64	install ok installed
libvdpau-va-gl1	0.4.2-1+b1	amd64	install ok installed
libvdpau1	1.5-2	amd64	install ok installed
libvisual-0.4-0	0.4.0-19	amd64	install ok installed
libvolume-key1	0.3.12-5+b1	amd64	install ok installed
libvorbis0a	1.3.7-1	amd64	install ok installed
libvorbisenc2	1.3.7-1	amd64	install ok installed
libvorbisfile3	1.3.7-1	amd64	install ok installed
libvpx7	1.12.0-1+deb12u5	amd64	install ok installed
libvte-2.91-0	0.70.6-2~deb12u1	amd64	install ok installed
libvte-2.91-common	0.70.6-2~deb12u1	amd64	install ok installed
libwacom-common	2.6.0-1	all	install ok installed
libwacom9	2.6.0-1	amd64	install ok installed
libwayland-client0	1.21.0-1	amd64	install ok installed
libwayland-cursor0	1.21.0-1	amd64	install ok installed
libwayland-egl1	1.21.0-1	amd64	install ok installed
libwayland-server0	1.21.0-1	amd64	install ok installed
libwebp7	1.2.4-0.2+deb12u1	amd64	install ok installed
libwebpmux3	1.2.4-0.2+deb12u1	amd64	install ok installed
libwebrtc-audio-processing1	0.3-1+b1	amd64	install ok installed
libwnck-3-0	43.0-3	amd64	install ok installed
libwnck-3-common	43.0-3	all	install ok installed
libwrap0	7.6.q-32	amd64	install ok installed
libx11-6	2:1.8.4-2+deb12u2	amd64	install ok installed
libx11-data	2:1.8.4-2+deb12u2	all	install ok installed
libx11-xcb1	2:1.8.4-2+deb12u2	amd64	install ok installed
libx264-164	2:0.164.3095+gitbaee400-3	amd64	install ok installed
libx265-199	3.5-2+b1	amd64	install ok installed
libxatracker2	22.3.6-1+deb12u1	amd64	install ok installed
libxau6	1:1.0.9-1	amd64	install ok installed
libxaw7	2:1.0.14-1	amd64	install ok installed
libxcb-damage0	1.15-1	amd64	install ok installed
libxcb-dri2-0	1.15-1	amd64	install ok installed
libxcb-dri3-0	1.15-1	amd64	install ok installed
libxcb-glx0	1.15-1	amd64	install ok installed
libxcb-present0	1.15-1	amd64	install ok installed
libxcb-randr0	1.15-1	amd64	install ok installed
libxcb-render0	1.15-1	amd64	install ok installed
libxcb-shape0	1.15-1	amd64	install ok installed
libxcb-shm0	1.15-1	amd64	install ok installed
libxcb-sync1	1.15-1	amd64	install ok installed
libxcb-util1	0.4.0-1+b1	amd64	install ok installed
libxcb-xfixes0	1.15-1	amd64	install ok installed
libxcb1	1.15-1	amd64	install ok installed
libxcomposite1	1:0.4.5-1	amd64	install ok installed
libxcursor1	1:1.2.1-1	amd64	install ok installed
libxcvt0	0.1.2-1	amd64	install ok installed
libxdamage1	1:1.1.6-1	amd64	install ok installed
libxdmcp6	1:1.1.2-3	amd64	install ok installed
libxext6	2:1.3.4-1+b1	amd64	install ok installed
libxfce4panel-2.0-4	4.18.2-1	amd64	install ok installed
libxfce4ui-2-0	4.18.2-2	amd64	install ok installed
libxfce4ui-common	4.18.2-2	all	install ok installed
libxfce4ui-utils	4.18.2-2	amd64	install ok installed
libxfce4util-bin	4.18.1-2	amd64	install ok installed
libxfce4util-common	4.18.1-2	all	install ok installed
libxfce4util7	4.18.1-2	amd64	install ok installed
libxfconf-0-3	4.18.0-2	amd64	install ok installed
libxfixes3	1:6.0.0-2	amd64	install ok installed
libxfont2	1:2.0.6-1	amd64	install ok installed
libxft2	2.3.6-1	amd64	install ok installed
libxi6	2:1.8-1+b1	amd64	install ok installed
libxinerama1	2:1.1.4-3	amd64	install ok installed
libxkbcommon0	1.5.0-1	amd64	install ok installed
libxkbfile1	1:1.1.0-1	amd64	install ok installed
libxklavier16	5.4-4	amd64	install ok installed
libxml2	2.9.14+dfsg-1.3~deb12u5	amd64	install ok installed
libxmu6	2:1.1.3-3	amd64	install ok installed
libxmuu1	2:1.1.3-3	amd64	install ok installed
libxpm4	1:3.5.12-1.1+deb12u1	amd64	install ok installed
libxpresent1	1.0.0-2+b10	amd64	install ok installed
libxrandr2	2:1.5.2-2+b1	amd64	install ok installed
libxrender1	1:0.9.10-1.1	amd64	install ok installed
libxres1	2:1.2.1-1	amd64	install ok installed
libxshmfence1	1.3-1	amd64	install ok installed
libxss1	1:1.2.3-1	amd64	install ok installed
libxt6	1:1.2.1-1.1	amd64	install ok installed
libxtables12	1.8.9-2	amd64	install ok installed
libxtst6	2:1.2.3-1.1	amd64	install ok installed
libxv1	2:1.0.11-1.1	amd64	install ok installed
libxvidcore4	2:1.3.7-1	amd64	install ok installed
libxvmc1	2:1.0.12-2	amd64	install ok installed
libxxf86dga1	2:1.1.5-1	amd64	install ok installed
libxxf86vm1	1:1.1.4-1+b2	amd64	install ok installed
libxxhash0	0.8.1-1	amd64	install ok installed
libyajl2	2.1.0-3+deb12u2	amd64	install ok installed
libyuv0	0.0~git20230123.b2528b0-1	amd64	install ok installed
libz3-4	4.8.12-3.1	amd64	install ok installed
libzstd1	1.5.4+dfsg2-5	amd64	install ok installed
libzvbi-common	0.2.41-1+deb12u1	all	install ok installed
libzvbi0	0.2.41-1+deb12u1	amd64	install ok installed
light-locker	1.8.0-3	amd64	install ok installed
lightdm	1.26.0-8	amd64	install ok installed
lightdm-gtk-greeter	2.0.8-2+b1	amd64	install ok installed
linux-base	4.9	all	install ok installed
linux-image-6.1.0-47-amd64	6.1.170-3	amd64	install ok installed
linux-image-amd64	6.1.170-3	amd64	install ok installed
live-boot	1:20230131+deb12u1	all	install ok installed
live-boot-doc	1:20230131+deb12u1	all	install ok installed
live-boot-initramfs-tools	1:20230131+deb12u1	all	install ok installed
live-config	11.0.3+nmu1	all	install ok installed
live-config-doc	11.0.3+nmu1	all	install ok installed
live-config-systemd	11.0.3+nmu1	all	install ok installed
live-tools	1:20190831.1	all	install ok installed
locales	2.36-9+deb12u14	all	install ok installed
login	1:4.13+dfsg1-1+deb12u2	amd64	install ok installed
logrotate	3.21.0-1	amd64	install ok installed
logsave	1.47.0-2+b2	amd64	install ok installed
lsb-release	12.0-1	all	install ok installed
lsof	4.95.0-1	amd64	install ok installed
man-db	2.11.2-2	amd64	install ok installed
mawk	1.3.4.20200120-3.1	amd64	install ok installed
media-types	10.0.0	all	install ok installed
mesa-va-drivers	22.3.6-1+deb12u1	amd64	install ok installed
mesa-vdpau-drivers	22.3.6-1+deb12u1	amd64	install ok installed
modemmanager	1.20.4-1	amd64	install ok installed
mokutil	0.6.0-2	amd64	install ok installed
mount	2.38.1-5+deb12u3	amd64	install ok installed
nano	7.2-1+deb12u1	amd64	install ok installed
ncurses-base	6.4-4	all	install ok installed
ncurses-bin	6.4-4	amd64	install ok installed
ncurses-term	6.4-4	all	install ok installed
netavark	1.4.0-3	amd64	install ok installed
netbase	6.4	all	install ok installed
network-manager	1.42.4-1+deb12u1	amd64	install ok installed
nftables	1.0.6-2+deb12u2	amd64	install ok installed
nginx	1.22.1-9+deb12u6	amd64	install ok installed
nginx-common	1.22.1-9+deb12u6	all	install ok installed
nginx-light	1.22.1-9+deb12u6	all	install ok installed
ntfs-3g	1:2022.10.3-1+deb12u3	amd64	install ok installed
ocl-icd-libopencl1	2.3.1-1	amd64	install ok installed
openssh-client	1:9.2p1-2+deb12u10	amd64	install ok installed
openssh-server	1:9.2p1-2+deb12u10	amd64	install ok installed
openssh-sftp-server	1:9.2p1-2+deb12u10	amd64	install ok installed
openssl	3.0.20-1~deb12u1	amd64	install ok installed
os-prober	1.81	amd64	install ok installed
parted	3.5-3	amd64	install ok installed
passwd	1:4.13+dfsg1-1+deb12u2	amd64	install ok installed
patch	2.7.6-7	amd64	install ok installed
pavucontrol	5.0-2	amd64	install ok installed
pci.ids	0.0~2023.04.11-1	all	install ok installed
perl	5.36.0-7+deb12u3	amd64	install ok installed
perl-base	5.36.0-7+deb12u3	amd64	install ok installed
perl-modules-5.36	5.36.0-7+deb12u3	all	install ok installed
pinentry-curses	1.2.1-1	amd64	install ok installed
pkexec	122-3	amd64	install ok installed
plymouth	22.02.122-3	amd64	install ok installed
plymouth-label	22.02.122-3	amd64	install ok installed
podman	4.3.1+ds1-8+deb12u1+b3	amd64	install ok installed
policykit-1	122-3	amd64	install ok installed
policykit-1-gnome	0.105-8	amd64	install ok installed
polkitd	122-3	amd64	install ok installed
polkitd-pkla	122-3	amd64	install ok installed
poppler-data	0.4.12-1	all	install ok installed
ppp	2.4.9-1+1.1+b1	amd64	install ok installed
procps	2:4.0.2-3	amd64	install ok installed
publicsuffix	20230209.2326-1	all	install ok installed
pulseaudio	16.1+dfsg1-2+b1	amd64	install ok installed
pulseaudio-utils	16.1+dfsg1-2+b1	amd64	install ok installed
python-apt-common	2.6.0	all	install ok installed
python3	3.11.2-1+b1	amd64	install ok installed
python3-apt	2.6.0	amd64	install ok installed
python3-dbus	1.3.2-4+b1	amd64	install ok installed
python3-debconf	1.5.82	all	install ok installed
python3-distro-info	1.5+deb12u1	all	install ok installed
python3-gi	3.42.2-3+b1	amd64	install ok installed
python3-minimal	3.11.2-1+b1	amd64	install ok installed
python3-pyinotify	0.9.6-2	all	install ok installed
python3-six	1.16.0-4	all	install ok installed
python3-systemd	235-1+b2	amd64	install ok installed
python3-urllib3	1.26.12-1+deb12u3	all	install ok installed
python3.11	3.11.2-6+deb12u7	amd64	install ok installed
python3.11-minimal	3.11.2-6+deb12u7	amd64	install ok installed
raspi-firmware	1.20220830+ds-1	all	install ok installed
readline-common	8.2-1.3	all	install ok installed
rsync	3.2.7-1+deb12u4	amd64	install ok installed
rtkit	0.13-5	amd64	install ok installed
runit-helper	2.15.2	all	install ok installed
sane-airscan	0.99.27-1+b1	amd64	install ok installed
sane-utils	1.2.1-2	amd64	install ok installed
sed	4.9-1+deb12u1	amd64	install ok installed
sensible-utils	0.0.17+nmu1	all	install ok installed
sgml-base	1.31	all	install ok installed
shared-mime-info	2.2-1	amd64	install ok installed
shim-helpers-amd64-signed	1+15.8+1~deb12u1	amd64	install ok installed
shim-signed	1.44~1+deb12u1+15.8-1~deb12u1	amd64	install ok installed
shim-signed-common	1.44~1+deb12u1+15.8-1~deb12u1	all	install ok installed
shim-unsigned	15.8-1~deb12u1	amd64	install ok installed
slirp4netns	1.2.0-1	amd64	install ok installed
smartmontools	7.3-1+b1	amd64	install ok installed
sound-theme-freedesktop	0.8-2	all	install ok installed
sudo	1.9.13p3-1+deb12u4	amd64	install ok installed
sysstat	12.6.1-1	amd64	install ok installed
systemd	252.39-1~deb12u2	amd64	install ok installed
systemd-sysv	252.39-1~deb12u2	amd64	install ok installed
sysvinit-utils	3.06-4	amd64	install ok installed
tango-icon-theme	0.8.90-11	all	install ok installed
tar	1.34+dfsg-1.2+deb12u1	amd64	install ok installed
tasksel	3.73	all	install ok installed
tasksel-data	3.73	all	install ok installed
thunar	4.18.4-1	amd64	install ok installed
thunar-data	4.18.4-1	all	install ok installed
thunar-volman	4.18.0-1	amd64	install ok installed
tmux	3.3a-3	amd64	install ok installed
tumbler	4.18.0-1	amd64	install ok installed
tumbler-common	4.18.0-1	all	install ok installed
tzdata	2026b-0+deb12u1	all	install ok installed
ucf	3.0043+nmu1+deb12u1	all	install ok installed
udev	252.39-1~deb12u2	amd64	install ok installed
udisks2	2.9.4-4+deb12u2	amd64	install ok installed
ufw	0.36.2-1	all	install ok installed
uidmap	1:4.13+dfsg1-1+deb12u2	amd64	install ok installed
unattended-upgrades	2.9.1+nmu3	all	install ok installed
update-inetd	4.53	all	install ok installed
upower	0.99.20-2	amd64	install ok installed
usb-modeswitch	2.6.1-3+b1	amd64	install ok installed
usb-modeswitch-data	20191128-5	all	install ok installed
usb.ids	2025.07.26-0+deb12u1	all	install ok installed
user-setup	1.95	all	install ok installed
usr-is-merged	37~deb12u1	all	install ok installed
util-linux	2.38.1-5+deb12u3	amd64	install ok installed
util-linux-extra	2.38.1-5+deb12u3	amd64	install ok installed
uuid-runtime	2.38.1-5+deb12u3	amd64	install ok installed
va-driver-all	2.17.0-1	amd64	install ok installed
vdpau-driver-all	1.5-2	amd64	install ok installed
vim	2:9.0.1378-2+deb12u2	amd64	install ok installed
vim-common	2:9.0.1378-2+deb12u2	all	install ok installed
vim-runtime	2:9.0.1378-2+deb12u2	all	install ok installed
vim-tiny	2:9.0.1378-2+deb12u2	amd64	install ok installed
wget	1.21.3-1+deb12u1	amd64	install ok installed
whiptail	0.52.23-1+b1	amd64	install ok installed
whois	5.5.17	amd64	install ok installed
wireless-regdb	2026.02.04-1~deb12u1	all	install ok installed
wpasupplicant	2:2.10-12+deb12u3	amd64	install ok installed
x11-apps	7.7+9	amd64	install ok installed
x11-common	1:7.7+23	all	install ok installed
x11-session-utils	7.7+5	amd64	install ok installed
x11-utils	7.7+5	amd64	install ok installed
x11-xkb-utils	7.7+7	amd64	install ok installed
x11-xserver-utils	7.7+9+b1	amd64	install ok installed
xauth	1:1.1.2-1	amd64	install ok installed
xbitmaps	1.1.1-2.2	all	install ok installed
xcvt	0.1.2-1	amd64	install ok installed
xdg-user-dirs	0.18-1	amd64	install ok installed
xfce4	4.18	all	install ok installed
xfce4-appfinder	4.18.0-1	amd64	install ok installed
xfce4-helpers	4.18.2-1	amd64	install ok installed
xfce4-notifyd	0.7.3-1	amd64	install ok installed
xfce4-panel	4.18.2-1	amd64	install ok installed
xfce4-pulseaudio-plugin	0.4.5-1	amd64	install ok installed
xfce4-session	4.18.1-1	amd64	install ok installed
xfce4-settings	4.18.2-1	amd64	install ok installed
xfce4-terminal	1.0.4-1	amd64	install ok installed
xfconf	4.18.0-2	amd64	install ok installed
xfdesktop4	4.18.1-1	amd64	install ok installed
xfdesktop4-data	4.18.1-1	all	install ok installed
xfonts-100dpi	1:1.0.5	all	install ok installed
xfonts-75dpi	1:1.0.5	all	install ok installed
xfonts-base	1:1.0.5+nmu1	all	install ok installed
xfonts-encodings	1:1.0.4-2.2	all	install ok installed
xfonts-scalable	1:1.0.3-1.3	all	install ok installed
xfonts-utils	1:7.7+6	amd64	install ok installed
xfwm4	4.18.0-1	amd64	install ok installed
xiccd	0.3.0-2	amd64	install ok installed
xinit	1.4.0-1	amd64	install ok installed
xkb-data	2.35.1-1	all	install ok installed
xml-core	0.18+nmu1	all	install ok installed
xorg	1:7.7+23	amd64	install ok installed
xorg-docs-core	1:1.7.1-1.2	all	install ok installed
xserver-common	2:21.1.7-3+deb12u12	all	install ok installed
xserver-xorg	1:7.7+23	amd64	install ok installed
xserver-xorg-core	2:21.1.7-3+deb12u12	amd64	install ok installed
xserver-xorg-input-all	1:7.7+23	amd64	install ok installed
xserver-xorg-input-libinput	1.2.1-1+b1	amd64	install ok installed
xserver-xorg-input-wacom	1.1.0-1	amd64	install ok installed
xserver-xorg-legacy	2:21.1.7-3+deb12u12	amd64	install ok installed
xserver-xorg-video-all	1:7.7+23	amd64	install ok installed
xserver-xorg-video-amdgpu	23.0.0-1	amd64	install ok installed
xserver-xorg-video-ati	1:19.1.0-3	amd64	install ok installed
xserver-xorg-video-fbdev	1:0.5.0-2	amd64	install ok installed
xserver-xorg-video-intel	2:2.99.917+git20210115-1	amd64	install ok installed
xserver-xorg-video-nouveau	1:1.0.17-2	amd64	install ok installed
xserver-xorg-video-qxl	0.1.5+git20200331-3	amd64	install ok installed
xserver-xorg-video-radeon	1:19.1.0-3	amd64	install ok installed
xserver-xorg-video-vesa	1:2.5.0-1+b1	amd64	install ok installed
xserver-xorg-video-vmware	1:13.3.0-3.1+b1	amd64	install ok installed
xz-utils	5.4.1-1	amd64	install ok installed
zlib1g	1:1.2.13.dfsg-1	amd64	install ok installed
zstd	1.5.4+dfsg2-5	amd64	install ok installed
